group,rows,MAE,RMSE,R2,bias_AED,interval_coverage
<1M,7921,118687.29980288625,371832.21549948456,-3.013585283011701,71415.99292882255,0.8873879560661533
1–2M,5721,142574.8995929576,218120.16289644808,0.3179541685686236,-240.4686863208149,0.9190700926411467
2–5M,3808,370694.50716645736,534297.3489897767,0.5465227333930487,-148108.64266914228,0.8650210084033614
5–10M,466,1178007.6923883185,1642215.5186267975,-0.771574370563866,-664632.8462254873,0.6866952789699571
10M+,181,8891718.34053396,21932504.035338975,0.3693655411448581,-5980808.430967605,0.4088397790055249
