features,MAE,RMSE,R2
no_log_area,260119.38817390686,1643393.221711538,0.7877609030986582
no_project,297050.40141077596,1678122.6053976442,0.7786957361059152
full,259674.3997559575,1683496.1021154278,0.777276195414577
