group,rows,MAE,RMSE,R2,bias_AED,interval_coverage
Flat,16998,248241.30110396713,1035303.151341279,0.8089392617760568,-44464.46495224217,0.8855159430521238
Villa,1075,751734.6904685347,6101899.013813407,0.4363296505447709,-349932.8450809637,0.8455813953488373
Residential Flats,12,21999902.621318776,51307261.48488604,0.3789851185264428,-18905996.361540943,0.4166666666666667
Residential / Attached Villas,9,164467.71051182476,242351.3964247673,0.6182168446215214,-58324.924077816024,0.7777777777777778
Residential / Villas,3,10850306.87336853,17735920.278161284,-1.8551058038883732,-10850306.87336853,0.6666666666666666
