feature,MAE_increase_AED,repeat_std
ACTUAL_AREA,1069669.8002542434,119853.8850465433
AREA_EN,261567.51362674576,52904.13649968126
PROJECT_EN,190661.8885864954,47508.14095750874
PROP_SB_TYPE_EN,122913.80459596583,21288.692784028673
ROOMS_EN,65290.69713840319,10662.307559076895
IS_OFFPLAN_EN,26384.21938450237,9261.59517613359
IS_FREE_HOLD_EN,2602.71255213061,23.18807362649239
INSTANCE_DATE,0.0,0.0
