group,rows,MAE,RMSE,R2,bias_AED,interval_coverage
Studio,6499,61483.07198826167,121376.73835320822,0.5938439480015559,3402.067557631109,0.9459916910293892
1 B/R,6424,193106.78677344057,365873.64068685326,0.642217673497536,-3280.490642615716,0.862079701120797
2 B/R,3281,404689.29654540634,1214887.3523315093,0.6729108147005813,-110857.96255364301,0.8424260896068272
3 B/R,1150,836890.488656091,2241172.530182644,0.7656154771415761,-350193.9357084811,0.8069565217391305
4 B/R,529,1203664.066605059,3462808.2557421685,0.7720985136996811,-268262.28551354405,0.8487712665406427
5 B/R,161,1046000.553802836,1828013.02431388,0.7342770952749957,-401298.1507491584,0.7329192546583851
nan,42,8198862.153560072,27911770.54696318,0.49886537587547675,-5767949.645117118,0.5714285714285714
PENTHOUSE,7,940453.7842852907,1685324.9273137776,-5.422423889085773,885771.6526969062,0.7142857142857143
6 B/R,4,59841123.88732867,99476037.71590486,0.014967076645793331,-45986878.5319627,0.25
